Delivery,DriveThrough,Parking,Wlan,address,map_url,name
,,,無線LAN,東京都新宿区西新宿1-2-10 ,//map.yahoo.co.jp/maps?lat=35.6897278&lon=139.7026419&hlat=35.6897278&hlon=139.7026419&z=16&datum=tky&home=on,新宿西口店
お届けケンタッキー（デリバリー）,,,無線LAN,東京都新宿区西新宿1-18-17 ,//map.yahoo.co.jp/maps?lat=35.6857858&lon=139.7018208&hlat=35.6857858&hlon=139.7018208&z=16&datum=tky&home=on,新宿南口店
,,パーキング,,千葉県千葉市中央区新千葉1-1-1 1Fフードコート内,//map.yahoo.co.jp/maps?lat=35.6087984&lon=140.117847&hlat=35.6087984&hlon=140.117847&z=16&datum=tky&home=on,ペリエ千葉店
お届けケンタッキー（デリバリー）,ドライブスルー,パーキング,無線LAN,千葉県千葉市中央区南町1-2-12 ,//map.yahoo.co.jp/maps?lat=35.5823789&lon=140.1341931&hlat=35.5823789&hlon=140.1341931&z=16&datum=tky&home=on,蘇我店
,,パーキング,無線LAN,千葉県千葉市花見川区幕張町4-417-25 ,//map.yahoo.co.jp/maps?lat=35.6532586&lon=140.0544917&hlat=35.6532586&hlon=140.0544917&z=16&datum=tky&home=on,イトーヨーカドー幕張店
,,パーキング,無線LAN,千葉県千葉市稲毛区長沼原町731-17,//map.yahoo.co.jp/maps?lat=35.6535008&lon=140.1306369&hlat=35.6535008&hlon=140.1306369&z=16&datum=tky&home=on,マミーマート稲毛長沼店
,,パーキング,無線LAN,千葉県千葉市稲毛区小仲台1-4-20,//map.yahoo.co.jp/maps?lat=35.6334417&lon=140.0982258&hlat=35.6334417&hlon=140.0982258&z=16&datum=tky&home=on,イオン稲毛店
,ドライブスルー,パーキング,,千葉県千葉市若葉区都賀3-30-9 ,//map.yahoo.co.jp/maps?lat=35.6329853&lon=140.1560203&hlat=35.6329853&hlon=140.1560203&z=16&datum=tky&home=on,都賀店
,,パーキング,無線LAN,千葉県千葉市緑区おゆみ野3-16-1,//map.yahoo.co.jp/maps?lat=35.5581981&lon=140.180835&hlat=35.5581981&hlon=140.180835&z=16&datum=tky&home=on,イオン鎌取店
,ドライブスルー,パーキング,無線LAN,千葉県千葉市緑区おゆみ野中央2-3-1,//map.yahoo.co.jp/maps?lat=35.5512497&lon=140.1648853&hlat=35.5512497&hlon=140.1648853&z=16&datum=tky&home=on,ミスターマックスおゆみ野店
,,パーキング,無線LAN,千葉県千葉市緑区あすみが丘7-1,//map.yahoo.co.jp/maps?lat=35.5174244&lon=140.2705411&hlat=35.5174244&hlon=140.2705411&z=16&datum=tky&home=on,土気あすみが丘店
,,パーキング,無線LAN,千葉県千葉市美浜区高洲3-13-1　マリンピア　1階,//map.yahoo.co.jp/maps?lat=35.6251446&lon=140.0763866&hlat=35.6251446&hlon=140.0763866&z=16&datum=tky&home=on,稲毛マリンピア店
,ドライブスルー,パーキング,無線LAN,埼玉県さいたま市西区三橋5-913-1 ,//map.yahoo.co.jp/maps?lat=35.9047772&lon=139.5981092&hlat=35.9047772&hlon=139.5981092&z=16&datum=tky&home=on,大宮三橋町店
,,パーキング,無線LAN,埼玉県さいたま市北区宮原町1-854-1,//map.yahoo.co.jp/maps?lat=35.9294367&lon=139.6251164&hlat=35.9294367&hlon=139.6251164&z=16&datum=tky&home=on,イトーヨーカドー大宮宮原店
,,パーキング,無線LAN,埼玉県さいたま市北区櫛引町2-574-1 ,//map.yahoo.co.jp/maps?lat=35.9201606&lon=139.6127294&hlat=35.9201606&hlon=139.6127294&z=16&datum=tky&home=on,イオン大宮店
,,パーキング,,埼玉県さいたま市大宮区吉敷町4丁目263-1,//map.yahoo.co.jp/maps?lat=35.8934387&lon=139.6376869&hlat=35.8934387&hlon=139.6376869&z=16&datum=tky&home=on,イトーヨーカドー大宮コクーン店
,,,,埼玉県さいたま市見沼区東大宮5-44-2,//map.yahoo.co.jp/maps?lat=35.9457312&lon=139.6453952&hlat=35.9457312&hlon=139.6453952&z=16&datum=tky&home=on,西友東大宮店
,ドライブスルー,パーキング,無線LAN,埼玉県さいたま市見沼区大和田町1-497-1,//map.yahoo.co.jp/maps?lat=35.9211156&lon=139.6508531&hlat=35.9211156&hlon=139.6508531&z=16&datum=tky&home=on,大宮大和田店
,,パーキング,無線LAN,埼玉県さいたま市中央区本町西5-2-9,//map.yahoo.co.jp/maps?lat=35.8869731&lon=139.61835&hlat=35.8869731&hlon=139.61835&z=16&datum=tky&home=on,イオンモール与野店
,,,,埼玉県さいたま市中央区新都心8  さいたまスーパーアリーナ内,//map.yahoo.co.jp/maps?lat=35.8919969&lon=139.6338139&hlat=35.8919969&hlon=139.6338139&z=16&datum=tky&home=on,さいたまスーパーアリーナ店
,,パーキング,無線LAN,埼玉県さいたま市浦和区常盤10-20-29 ,//map.yahoo.co.jp/maps?lat=35.8683872&lon=139.6418908&hlat=35.8683872&hlon=139.6418908&z=16&datum=tky&home=on,イオン北浦和店
,,,無線LAN,埼玉県さいたま市浦和区仲町1-2-7,//map.yahoo.co.jp/maps?lat=35.8567481&lon=139.6584292&hlat=35.8567481&hlon=139.6584292&z=16&datum=tky&home=on,浦和仲町店
,ドライブスルー,パーキング,無線LAN,群馬県前橋市荒牧町1丁目10番地１ ,//map.yahoo.co.jp/maps?lat=36.4215824&lon=139.06094&hlat=36.4215824&hlon=139.06094&z=16&datum=tky&home=on,フレッシュモールあらまき店
,,パーキング,無線LAN,群馬県前橋市文京町2-1-1,//map.yahoo.co.jp/maps?lat=36.3761671&lon=139.0811236&hlat=36.3761671&hlon=139.0811236&z=16&datum=tky&home=on,けやきウォーク前橋店
,,パーキング,無線LAN,群馬県前橋市新堀町893,//map.yahoo.co.jp/maps?lat=36.3270169&lon=139.0996242&hlat=36.3270169&hlon=139.0996242&z=16&datum=tky&home=on,ベイシア前橋みなみモール店
,ドライブスルー,パーキング,無線LAN,群馬県前橋市野中町104-1,//map.yahoo.co.jp/maps?lat=36.377135&lon=139.1102418&hlat=36.377135&hlon=139.1102418&z=16&datum=tky&home=on,前橋野中店
,ドライブスルー,パーキング,無線LAN,群馬県高崎市中尾町1421-1 ,//map.yahoo.co.jp/maps?lat=36.3717067&lon=139.0328692&hlat=36.3717067&hlon=139.0328692&z=16&datum=tky&home=on,高前バイパス店
,ドライブスルー,パーキング,無線LAN,群馬県高崎市下小鳥町67-6 ,//map.yahoo.co.jp/maps?lat=36.3506158&lon=138.9961686&hlat=36.3506158&hlon=138.9961686&z=16&datum=tky&home=on,高崎小鳥店
,ドライブスルー,パーキング,無線LAN,群馬県高崎市下之城町字村北176-8 ,//map.yahoo.co.jp/maps?lat=36.3081825&lon=139.0339564&hlat=36.3081825&hlon=139.0339564&z=16&datum=tky&home=on,倉賀野バイパス店
